20468
7403
1200
1165
21
1	1	5432	9	2.3	32.02	1	2400	167.81	0.0718	1	-1	0	0	155993.06	0	0	2	0	0	0
2	1	6712	9	1.44	32	1	2400	40.06	0.045	1	-1	0	0	154638.42	0	0	2	0	0	0
3	2	5430	9	1.95	31.97	1	2400	29.74	0.061	1	-1	0	0	150710.02	0	0	2	1	0	0
4	2	5738	9	2.16	32	1	2400	30.85	0.0675	1	-1	1	0	152305.92	0	0	2	1	1	0
5	2	5739	9	0.87	32.02	1	2400	26.01	0.0272	1	-1	0	0	149954.34	0	0	2	0	0	0
6	3	5435	9	2.42	31.98	1	2400	45.47	0.0757	1	-1	0	0	141328.28	0	0	2	1	0	0
7	3	6705	9	1.63	31.96	1	2400	13.24	0.051	1	-1	0	0	142446.38	0	0	2	0	0	0
8	3	6706	9	1.73	32.04	1	2400	31.7	0.054	1	-1	0	0	140466.08	0	0	2	1	0	0
9	3	6712	9	1.74	32.02	1	2400	16.27	0.0543	1	-1	0	0	148375.66	0	0	2	1	0	0
10	4	5458	9	1.11	32.02	1	2400	17.49	0.0347	1	-1	0	0	131029.72	0	0	2	1	0	0
11	4	6705	9	2.07	32.01	1	2400	6.36	0.0647	1	-1	0	0	136859.06	0	0	2	0	0	1
12	4	6707	9	1.59	32.01	1	2400	0.08	0.0497	1	-1	0	0	132192.7	0	0	2	1	0	0
13	5	5405	9	0.48	32	1	2400	28.34	0.015	1	-1	0	0	130720.78	0	0	2	1	0	0
14	5	5435	9	1.34	32.03	1	2400	18.68	0.0418	1	-1	0	0	134846.7	0	0	2	1	0	0
15	6	5437	9	0.95	32.02	1	2400	52.08	0.0297	1	-1	0	0	126991.8	0	0	2	1	0	0
16	6	6706	9	1.53	31.99	1	2400	3.85	0.0478	1	-1	0	0	131853.78	0	0	2	0	0	0
17	6	6707	9	1.49	32.04	1	2400	0.25	0.0465	1	-1	0	0	129136.56	0	0	2	0	0	0
18	7	5406	9	1.32	31.94	1	2400	17.18	0.0413	1	-1	0	0	131743.06	0	0	2	0	0	0
19	7	5429	9	0.46	32.09	1	2400	16.12	0.0143	1	-1	0	0	135102.59	0	0	2	0	0	1
20	8	5354	9	0.1	31.58	1	2400	12.53	0.0032	1	-1	0	0	119374.58	0	0	2	1	0	0
21	8	5425	9	0.89	31.98	1	2400	21.16	0.0278	1	-1	0	0	119164.24	0	0	2	0	0	0
22	9	5428	9	2.33	31.99	1	2400	187.42	0.0728	1	-1	0	0	130047.48	0	0	2	1	0	0
23	9	5429	9	2.04	31.96	1	2400	41.08	0.0638	1	-1	0	0	135747.48	0	0	2	1	1	1
24	9	5739	9	2.18	31.98	1	2400	29.99	0.0682	1	-1	0	0	141930.28	0	0	2	1	0	1
