220
147
2	2932	5353	6752	8150	9505	10860	12215	13739
3	8050	10941	11621	12300	12750	13200	13650	14115
4	3588	4668	4834	5000	5200	5400	5600	5807
6	2401	3557	3979	4400	4800	5200	5600	6031
7	5441	6903	7152	7400	7500	7600	7700	7801
8	3690	3957	3979	4000	4050	4100	4150	4201
9	10951	16943	22464	27984	33719	39453	45188	51756
10	14190	24300	27839	31378	35062	38746	42430	46464
11	8924	12710	14405	16100	17100	18100	19100	20155
12	5633	6773	7853	8933	10983	13033	15083	17455
13	3197	3692	3796	3900	4050	4200	4350	4505
14	6890	9962	11171	12379	12859	13339	13819	14316
15	4392	4686	5143	5600	11300	17000	22700	30311
16	18645	21008	21366	21723	22113	22502	22892	23288
17	2918	5665	7204	8742	13062	17382	21702	27096
18	602	602	681	760	820	880	940	1004
19	53507	61995	63640	65285	65892	66499	67106	67719
20	16849	22193	22947	23700	24100	24500	24900	25307
21	43782	49562	59704	69845	73286	76727	80168	83763
22	10440	15223	17672	20120	21550	22980	24410	25929
23	4417	6363	9082	11800	15000	18200	21400	25163
24	2535	3944	4129	4314	4694	5073	5453	5860
28	5199	8787	12544	16300	20900	25500	30100	35530
29	39032	50693	57782	64870	70133	75395	80658	86287
30	1890	2688	2914	3140	3555	3970	4385	4843
31	2677	2792	3114	3435	3429	3423	3417	3411
32	54611	64945	68522	72098	74981	77863	80746	83735
35	26238	25468	25260	25052	25006	24959	24913	24866
36	6429	6667	6684	6700	6700	6700	6700	6700
37	12248	12843	12927	13010	13060	13110	13160	13210
38	396	0	0	0	0	0	0	0
39	24597	25940	25978	26016	25616	25216	24816	24422
40	2405	2106	2168	2230	2293	2355	2418	2482
42	3402	4107	4375	4642	5188	5733	6279	6876
43	1528	953	999	1045	1213	1381	1549	1737
44	6702	7810	8122	8433	8266	8098	7931	7766
45	3431	3567	3803	4038	4184	4330	4476	4627
47	1234	1492	1502	1512	1491	1470	1449	1428
48	10094	10454	11037	11620	12716	13812	14908	16091
50	24587	24059	24597	25134	25570	26006	26442	26885
53	16781	16963	17152	17340	17264	17188	17112	17036
54	32084	33068	33243	33417	33537	33657	33777	33897
55	8007	9804	10284	10764	11071	11377	11684	11998
56	15209	16663	17832	19001	19712	20423	21134	21870
57	10317	12117	12442	12766	12962	13158	13354	13553
58	2936	3596	3716	3835	3827	3818	3810	3801
61	4827	5324	5787	6250	6500	6750	7000	7259
62	3500	4575	5533	6490	7195	7900	8605	9373
63	52871	67971	71507	75043	76865	78686	80508	82371
64	15165	14403	14632	14860	15029	15198	15367	15538
65	30293	28955	29064	29172	29317	29461	29606	29751
67	21756	21267	21993	22718	23415	24111	24808	25524
73	367417	381810	392895	403980	414085	424190	434295	444641
75	6980	6789	6890	6990	7095	7200	7305	7412
77	1493	2628	2862	3096	3248	3400	3552	3711
79	1620	1406	1574	1741	1830	1919	2008	2101
80	9801	11080	11684	12288	12830	13372	13914	14478
81	13499	13173	13564	13954	14434	14913	15393	15887
82	32807	36676	37882	39089	39732	40375	41018	41672
83	5970	11494	13017	14539	17680	20821	23962	27577
84	5725	6094	6380	6666	6926	7185	7445	7713
85	37324	37389	38663	39937	40452	40967	41482	42003
86	19056	26042	26739	27436	27622	27807	27993	28179
88	10870	10432	10465	10498	10557	10615	10674	10732
89	3200	3162	3281	3400	3750	4100	4450	4830
92	21334	20677	20806	20934	21028	21121	21215	21308
94	11413	11711	12301	12890	13490	14090	14690	15316
96	1906	2047	2146	2244	2244	2244	2244	2244
97	2235	795	835	874	897	919	942	965
98	274017	288733	297852	306971	316090	325209	334328	343703
100	2438	2764	2793	2821	2885	2948	3012	3076
101	1060	1102	1101	1100	1125	1150	1175	1201
102	3757	4468	5340	6212	7062	7912	8762	9703
103	9895	11518	12905	14291	15375	16458	17542	18696
104	50756	53286	53361	53435	53339	53243	53147	53051
105	39933	40449	41848	43246	44243	45239	46236	47254
108	10494	12314	12394	12473	12563	12652	12742	12832
112	2291	2272	2276	2280	2225	2170	2115	2061
113	4517	4350	4555	4759	4871	4982	5094	5207
115	12720	13817	14035	14253	14601	14949	15297	15653
116	2645	834	843	852	867	881	896	910
117	20075	46463	53232	60000	66750	73500	80250	87620
118	1447	1442	1466	1489	1479	1468	1458	1447
123	1417	3489	3529	3568	3609	3649	3690	3730
124	49587	50761	51617	52472	52933	53393	53854	54318
125	1590	1664	1745	1825	1873	1920	1968	2016
126	19300	19405	19753	20100	20600	21100	21600	22112
128	10098	12176	12551	12925	12935	12945	12955	12965
129	3	7	76	145	145	145	145	145
130	20145	20167	20034	19900	19950	20000	20050	20100
133	1389	1366	1411	1455	1543	1630	1718	1810
134	1976	1004	912	820	957	1094	1231	1385
135	1734	1847	2414	2980	3540	4100	4660	5296
140	4785	8099	8484	8868	9478	10088	10698	11345
141	3720	3719	3787	3854	4104	4354	4604	4868
143	1931	5564	7115	8665	11488	14310	17133	20512
144	11732	20321	23911	27500	31000	34500	38000	41855
145	2354	4025	5263	6500	7100	7700	8300	8947
146	39424	54998	57544	60089	61340	62590	63841	65116
149	34618	34538	36171	37804	39605	41405	43206	45084
152	22477	29751	32526	35300	38100	40900	43700	46692
153	413	504	507	510	515	520	525	530
156	86223	85067	86235	87403	88903	90402	91902	93426
157	47409	63556	65278	67000	67500	68000	68500	69004
158	1110	1889	3023	4156	5364	6572	7780	9210
159	25373	27869	33361	38853	43099	47345	51591	56218
160	11649	17764	21145	24525	24813	25100	25388	25678
161	3008	8154	8549	8943	9407	9871	10335	10821
163	51288	60939	61704	62468	63298	64128	64958	65799
164	12305	21088	29278	37468	40428	43387	46347	49508
165	4113	4484	5227	5970	7185	8400	9615	11006
166	1458	1951	2346	2740	3090	3440	3790	4176
167	1296	1453	1727	2000	3850	5700	7550	10000
168	165	156	1268	2380	4875	7370	9865	13205
169	772	1067	2365	3662	5958	8253	10549	13482
170	9906	20509	24702	28894	31676	34458	37240	40247
174	805	865	903	940	965	990	1015	1041
176	931	1133	1177	1220	1740	2260	2780	3420
177	744	1266	2083	2900	3450	4000	4550	5176
178	34598	45527	49764	54000	58500	63000	67500	72321
179	8808	14782	18826	22870	26580	30290	34000	38164
180	11482	12415	17960	23505	24655	25805	26955	28156
181	15440	18201	20601	23000	25250	27500	29750	32184
183	1926	2355	2428	2500	2550	2600	2650	2701
185	1137	1611	2006	2400	2575	2750	2925	3111
188	1511	1551	1676	1800	1965	2130	2295	2473
189	2853	3681	4641	5600	7450	9300	11150	13368
190	2854	3889	4392	4895	5845	6795	7745	8828
191	24854	38459	46239	54018	63304	72590	81876	92350
192	1340	1549	1755	1960	3135	4310	5485	6980
194	1286	1258	1277	1295	1320	1345	1370	1395
195	418	472	536	600	700	800	900	1013
196	5940	12974	16098	19222	22121	25020	27919	31154
197	2909	3833	4817	5800	6700	7600	8500	9507
198	1711	1685	1730	1775	1865	1955	2045	2139
199	3149	3789	5120	6450	7375	8300	9225	10253
202	456	496	508	520	545	570	595	621
203	691	4314	4632	4950	5100	5250	5400	5554
204	3463	1440	1520	1600	1700	1800	1900	2006
205	1688	2197	2499	2800	3000	3200	3400	3613
206	2458	3861	6331	8800	11750	14700	17650	21192
207	1405	1490	1495	1500	1575	1650	1725	1803
208	1480	1495	1498	1500	1525	1550	1575	1600
209	2104	2390	2620	2850	2955	3060	3165	3274
210	805	895	933	970	985	1000	1015	1030
217	850	1241	1356	1470	1600	1730	1860	2000
220	742	802	856	910	950	990	1030	1072
