9
543	1134	1583	2017	2500	0	0	0	0	0	1847	3523	4918	6268	7468	1.15	1.15	1.15	1.15	1.15	1293	2543	3542	4507	5503	48192.05	48192.05	48192.05	48192.05	48192.05	1	1	1	1	1	96	94	284	433	576	256	887	986	1070	1200
347	653	1377	2163	2700	0	0	0	0	0	1085	1830	3232	4592	5842	0.8	0.8	0.8	0.8	0.8	855	1404	2754	4139	5198	46585.31	46585.31	46585.31	46585.31	46585.31	1	1	1	1	1	58	78	91	132	174	576	415	599	645	710
342	581	750	950	1050	0	0	0	0	0	1037	1794	2200	2600	2880	0.5	0.5	0.5	0.5	0.5	815	1336	1695	2096	2318	44115.5	44115.5	44115.5	44115.5	44115.5	1	1	1	1	1	30	35	35	40	50	149	144	175	200	220
90	161	200	300	500	0	0	0	0	0	274	513	590	820	1370	0.55	0.55	0.55	0.55	0.55	215	374	453	661	1102	40568.47	40568.47	40568.47	40568.47	40568.47	1	1	1	1	1	0	0	0	0	5	15	10	15	20	20
219	405	480	515	550	0	0	0	0	0	751	1381	1480	1520	1620	0.57	0.57	0.57	0.57	0.57	521	987	1137	1203	1284	41484.25	41484.25	41484.25	41484.25	41484.25	1	1	1	1	1	0	5	5	5	5	29	84	103	128	155
322	381	550	650	750	0	0	0	0	0	1090	1250	1610	1780	2050	0.71	0.71	0.71	0.71	0.71	768	892	1241	1432	1558	39048.92	39048.92	39048.92	39048.92	39048.92	1	1	1	1	1	0	5	10	10	15	65	100	115	130	140
272	393	465	500	535	0	0	0	0	0	884	1210	1298	1332	1420	0.68	0.68	0.68	0.68	0.68	648	930	1067	1129	1156	39615.9	39615.9	39615.9	39615.9	39615.9	1	1	1	1	1	10	0	0	0	0	85	68	83	102	125
256	307	360	390	420	0	0	0	0	0	837	920	986	1013	1080	0.61	0.61	0.61	0.61	0.61	635	703	799	849	911	36590.51	36590.51	36590.51	36590.51	36590.51	1	1	1	1	1	70	37	45	55	55	15	54	65	81	110
891	1095	1295	1395	1495	0	0	0	0	0	2969	3392	3636	3735	3980	0.61	0.61	0.61	0.61	0.61	2207	2533	2899	3070	3283	41398.61	41398.61	41398.61	41398.61	41398.61	1	1	1	1	1	26	0	0	0	10	46	106	129	159	180
542	713	870	988	1087	0	0	0	0	0	1726	2155	2423	2600	2817	1.01	1.01	1.01	1.01	1.01	1253	1609	1907	2119	2316	38456.48	38456.48	38456.48	38456.48	38456.48	1	1	1	1	1	58	34	45	80	120	204	486	550	565	570
400	591	721	820	901	0	0	0	0	0	1302	1880	2113	2268	2458	1.02	1.02	1.02	1.02	1.02	939	1342	1591	1772	1936	44884.59	44884.59	44884.59	44884.59	44884.59	1	1	1	1	1	0	32	35	40	60	19	39	45	50	35
