36
3121	3121	1637	7728
3185	3185	1662	7728
3297	3297	1692	7731
3612	3612	1845	7729
4352	4352	2258	7731
13435	13435	5291	7727
13586	13586	5338	7727
13590	13590	5339	7726
13591	13591	5339	7730
13595	13595	5340	7726
13599	13599	5342	7730
15175	15175	5808	7732
15187	15187	5812	7724
15193	15193	5813	7724
15199	15199	5815	7725
15365	15365	5864	7725
15378	15378	5868	7732
19553	19553	7315	7729
20381	3121	7728	1662
20382	3185	7728	1637
20383	4352	7731	1692
20384	3297	7731	2258
20385	19553	7729	1845
20386	3612	7729	7315
20387	13435	7727	5338
20388	13586	7727	5291
20389	13590	7726	5340
20390	13595	7726	5339
20391	13591	7730	5342
20392	13599	7730	5339
20393	15175	7732	5868
20394	15193	7724	5812
20395	15187	7724	5813
20396	15365	7725	5815
20397	15199	7725	5864
20398	15378	7732	5808
