20380
7393
1200
1165
21
48	21	5367	9	0.48	32.00	1	2400	342.45	0.0150	1	-1	0	0	98651.04	0	0.00	2	0	0	0
49	21	5372	9	1.24	31.93	1	2400	74.71	0.0388	1	-1	0	0	102136.78	0	0.00	2	1	0	0
50	22	5369	9	0.58	31.93	1	2400	20.95	0.0182	1	-1	0	0	88177.34	0	0.00	2	0	0	0
51	22	5375	9	0.20	31.58	1	2400	22.47	0.0063	1	-1	0	0	87522.52	0	0.00	2	0	0	0
52	23	5368	9	0.57	31.96	1	2400	59.16	0.0178	1	-1	0	0	97785.38	0	0.00	2	0	0	0
53	23	5379	9	0.78	32.05	1	2400	59.79	0.0243	1	-1	0	0	95646.86	0	0.00	2	0	0	0
54	24	5372	9	0.83	31.92	1	2400	226.58	0.0260	1	-1	0	0	107562.52	0	0.00	2	1	0	0
55	24	5416	9	0.53	32.12	1	2400	67.31	0.0165	1	-1	0	0	110936.50	0	0.00	2	1	0	0
56	25	5412	9	0.69	32.09	1	2400	10.20	0.0215	1	-1	0	0	109661.52	0	0.00	2	1	0	0
57	25	5414	9	0.76	31.89	1	2400	57.44	0.0238	1	-1	0	0	109508.06	0	0.00	2	0	0	0
58	26	5071	9	1.36	32.00	1	2400	23.04	0.0425	1	-1	0	0	113210.06	0	0.00	2	0	0	1
59	26	5402	9	1.06	31.96	1	2400	134.75	0.0332	1	-1	0	0	106892.82	0	0.00	2	1	0	1
60	26	5409	9	0.75	31.91	1	2400	68.79	0.0235	1	-1	0	0	109941.18	0	0.00	2	0	0	0
61	27	5378	9	0.80	25.95	1	2400	133.13	0.0308	1	-1	0	0	94400.64	0	0.00	2	0	0	0
62	27	5383	9	0.48	25.95	1	2400	82.95	0.0185	1	-1	0	0	97461.14	0	0.00	2	1	0	0
63	28	5376	9	0.43	26.06	1	2400	451.92	0.0165	1	-1	0	0	88254.66	0	0.00	2	0	0	1
64	28	5378	9	0.59	26.03	1	2400	47.01	0.0227	1	-1	0	0	90727.38	0	0.00	2	0	0	0
65	29	5377	9	0.59	26.03	1	2400	93.76	0.0227	1	-1	0	0	91949.58	0	0.00	2	0	0	0
66	29	5401	9	0.66	26.05	1	2400	90.63	0.0253	1	-1	0	0	89610.30	0	0.00	2	0	0	0
67	29	5710	9	0.49	26.02	1	2400	202.41	0.0188	1	-1	0	0	91061.86	0	0.00	2	0	0	0
68	30	5391	9	0.95	26.03	1	2400	119.02	0.0365	1	-1	0	0	93358.10	0	0.00	2	0	0	0
69	30	5397	9	0.94	25.99	1	2400	220.77	0.0362	1	-1	0	0	91340.16	0	0.00	2	0	0	1
70	30	5710	9	0.75	26.01	1	2400	90.13	0.0288	1	-1	0	0	92285.96	0	0.00	2	0	0	0
71	31	5373	9	0.63	26.07	1	2400	199.31	0.0242	1	-1	0	0	83667.57	0	0.00	2	0	0	1
72	31	5741	9	0.44	25.88	1	2400	424.39	0.0170	1	-1	0	0	84494.74	0	0.00	2	0	0	1
73	32	5358	9	1.09	25.95	1	2400	423.76	0.0420	1	-1	0	0	83681.96	0	0.00	2	0	0	0
74	32	5398	9	0.47	26.11	1	2400	21.53	0.0180	1	-1	0	0	87582.92	0	0.00	2	0	0	0
75	32	5741	9	0.37	26.12	1	2400	21.78	0.0142	1	-1	0	0	85729.58	0	0.00	2	0	0	1
76	33	5390	9	0.27	26.13	1	2400	237.80	0.0103	1	-1	0	0	88020.42	0	0.00	2	0	0	1
77	33	5396	9	0.35	25.93	1	2400	81.81	0.0135	1	-1	0	0	88720.12	0	0.00	2	0	0	1
78	34	5385	9	0.44	25.88	1	2400	315.86	0.0170	1	-1	0	0	88896.60	0	0.00	2	0	0	1
79	34	5388	9	0.53	26.07	1	2400	27.36	0.0203	1	-1	0	0	90180.20	0	0.00	2	0	0	1
80	34	5390	9	0.58	25.97	1	2400	229.22	0.0223	1	-1	0	0	88491.92	0	0.00	2	0	0	1
81	35	5387	9	0.67	25.94	1	2400	52.88	0.0258	1	-1	0	0	97007.28	0	0.00	2	0	0	0
82	35	5392	9	0.46	26.04	1	2400	147.41	0.0177	1	-1	0	0	95230.06	0	0.00	2	0	0	0
83	35	5395	9	1.40	26.01	1	2400	28.93	0.0538	1	-1	0	0	99573.88	0	0.00	2	0	0	1
84	36	5395	9	1.24	31.93	1	2400	67.59	0.0388	1	-1	0	0	106313.24	0	0.00	2	0	0	0
85	36	5403	9	0.77	32.08	1	2400	66.01	0.0240	1	-1	0	0	109041.46	0	0.00	2	1	0	0
86	36	5409	9	0.86	32.05	1	2400	44.73	0.0268	1	-1	0	0	109856.38	0	0.00	2	0	0	0
87	37	5403	9	0.59	31.89	1	2400	11.00	0.0185	1	-1	0	0	108620.44	0	0.00	2	0	0	0
88	38	5387	9	0.24	26.18	1	2400	10.00	0.0092	1	-1	0	0	98193.70	0	0.00	2	0	0	0
89	39	5452	9	0.36	31.76	1	2400	61.00	0.0113	1	-1	0	0	110446.32	0	0.00	2	0	0	0
90	40	5451	9	0.53	32.12	1	2400	178.75	0.0165	1	-1	0	0	110385.84	0	0.00	2	0	0	1
91	40	5452	9	0.53	32.12	1	2400	43.10	0.0165	1	-1	0	0	111210.92	0	0.00	2	0	0	0
92	41	5456	9	0.36	31.76	1	2400	42.90	0.0113	1	-1	0	0	121525.82	0	0.00	2	0	0	0
93	41	5460	9	0.78	32.05	1	2400	78.34	0.0243	1	-1	0	0	121132.74	0	0.00	2	0	0	1
94	42	5461	9	0.68	31.88	1	2400	83.00	0.0213	1	-1	0	0	114040.80	0	0.00	2	0	0	1
