3843	5197
4081	2390
4161	2720
3885	5479
5644	1966
3912	4205
20063	4703
19162	5072
4063	5477
4706	4013
5649	3263
3358	4236
4271	3202
5250	4067
4704	5468
4070	4277
3338	616
3337	2339
3339	2543
5805	2287
5788	2975
4619	2117
4670	1685
4015	2394
5605	1787
5784	1458
5639	3473
5978	1164
5986	3711
5873	3662
4543	3378
5332	2780
5341	2745
19620	2923
5491	3905
5328	1564
3498	4656
2896	1500
5625	828
5610	1583
4821	815
4267	4950
19467	1803
19487	1936
19479	3222
19143	1455
3601	3671
19273	2061
5375	3628
19262	2794
3490	6204
5726	3520
4891	3517
19997	3190
19139	2547
3472	2880
20037	2624
19973	4478
4870	3875
19980	1664
3219	4180
15980	3386
3229	1719
