7
0	36458.10	0	0	0	8445.99414	1
803	49082.61	1942	4.309	1109	11859.39324	1
1310	79704.99	2998	3.727	1947	12205.81714	1
1837	51316.63	4223	3.641	3044	12028.41599	1
739	36934.45	1605	4.981	1060	9657.530017	1
1164	42762.54	2679	4.951	1566	10586.71665	1
973	44025.72	2548	3.035	1684	10176.28352	1
782	36973.98	1783	5.092	1106	7902.342984	1
1412	39988.89	3103	6.006	1919	9246.281389	1
1438	65060.79	3387	5.614	2027	8035.125459	1
3431	40758.80	7767	5.403	5006	8723.36008	1
371	51928.96	1102	0.377	830	59870.1881	2
1559	50847.04	4468	1.036	3397	51862.27305	2
655	51925.84	1847	0.688	1438	61294.8285	2
2997	56543.29	8099	1.651	6644	52394.17843	2
1644	49103.08	4484	1.566	3467	65663.22084	2
692	58922.94	1951	0.832	1521	59145.65916	2
141	65456.55	430	0.469	326	47831.63578	2
338	65425.57	1023	0.554	779	49705.27303	2
121	62653.94	367	0.523	273	58343.63574	2
174	85987.84	526	0.573	422	45161.49033	2
1367	82928.98	4025	1.326	3279	36435.65281	2
743	75998.40	2201	1.4	1781	31248.89971	2
386	124064.77	1340	1.136	986	30121.84052	2
795	90361.83	2321	1.679	1878	29563.75119	2
2170	77600.45	5777	2.416	4397	30498.13709	2
484	77509.00	1629	1.656	1078	25176.56706	2
1113	83557.07	2999	2.863	2302	29678.38035	2
653	83667.07	2367	1.547	1640	32152.77298	2
179	83964.30	413	2.778	395	32013.88278	2
240	116012.39	825	0.837	613	31717.64851	2
88	114917.78	252	0.35	213	34084.50066	2
63	115092.76	197	5.401	157	34389.68783	2
411	75033.21	1158	1.564	951	36846.29442	2
251	69051.87	768	0.928	586	38033.92764	2
270	60781.83	797	6.058	595	41473.38565	2
2048	65435.46	5599	3.771	4115	36397.48776	2
2010	67423.10	5807	2.853	4207	37207.54113	2
259	55156.37	860	1.026	601	39505.03941	2
699	50053.25	2125	5.067	1364	37977.74025	2
271	49188.73	650	3.592	479	40350.88034	2
60	48560.60	156	0.772	124	41595.30938	2
458	65408.03	1266	1.677	1021	43573.47898	2
443	64592.61	1241	0.608	995	60436.42845	3
496	62492.31	1490	0.468	1144	48797.54883	3
514	61139.72	1495	0.493	1137	49314.15432	3
285	64595.10	802	0.401	641	54002.89725	3
607	57074.02	1717	0.713	1353	45510.57993	3
209	57091.47	673	0.567	486	44463.60736	3
287	57092.63	895	0.439	661	50760.56462	3
734	71525.59	2355	0.681	1747	45579.41171	3
187	63391.73	612	0.453	426	43208.98369	3
216	71663.76	646	0.454	501	42224.2054	3
556	64455.44	1685	0.633	1283	35672.99761	3
93	61262.14	283	0.319	208	45174.25723	3
393	64406.17	1266	0.961	922	41413.63042	3
1833	54068.68	4713	3.989	3732	46315.60538	3
186	66003.94	603	0.749	451	46520.71938	3
910	66913.05	2989	2.692	2138	44969.4378	3
1715	64736.00	5410	2.258	3941	41848.44579	3
1858	65379.81	5828	2.606	4142	40615.9172	3
1732	79301.92	5873	2.392	4121	35949.90516	3
163	59217.94	435	1.06	357	39510.13356	3
1180	49314.07	2919	3.524	2338	40537.44897	3
198	49211.09	568	2.265	422	42393.48675	3
866	85547.07	3067	1.595	2140	39965.42439	3
109	85907.00	334	0.632	261	40701.43498	3
755	84362.93	2421	1.877	1825	36565.83743	3
849	81203.01	2587	1.517	2006	34235.5807	3
868	87865.32	2441	1.679	2068	32829.52272	3
184	87395.99	563	1.533	447	32469.33346	3
1822	84317.11	6013	2.225	4303	34134.66776	3
1354	87589.21	4222	2.262	2942	31006.0389	3
1290	54106.23	3024	4.489	2542	31967.68669	3
1535	60893.83	4208	2.177	3360	40182.47631	3
2	60887.00	4	1.365	3	28390.30043	3
2320	66615.04	6743	2.789	4441	27606.47974	3
1233	52525.27	3645	2.903	2284	25809.68195	3
0	53922.62	0	0	0	27874.82335	3
707	54017.03	1423	11.341	980	27934.88878	3
185	54038.91	588	2.084	344	30561.42123	3
917	59841.93	2071	5.804	1538	28768.51451	3
1837	56571.01	4473	3.775	3144	28350.93941	3
195	42264.87	497	9.446	305	28275.61317	3
322	42106.21	671	18.506	457	27206.24262	3
1331	42365.07	2881	4.242	1944	26264.74365	3
2922	60448.60	7468	3.226	5314	26852.94395	3
1877	68812.66	5019	2.891	3528	25561.57991	3
1792	47241.36	3567	6.811	2635	26100.62973	3
