35224
30.4	77.34	167.81
98.92	103.04	97.29
198.61	333.61	215.66
156.13	150.21	174.46
545.03	466.44	529.13
1	2	3
245	278	324
12.18	12.96	20.07
6.48	8.02	9.59
385	605	810
188	210	251
19	30	52
0	1	1
9	9	16
4	10	25
41.74	117.34	209.35
47.78	153.31	287.38
118.34	208.02	298.8
47.96	73.51	117.51
56.03	88.84	112.23
40.45	53.22	73.18
4.81	12.7	21.07
4.04	16.16	55.96
51	85	148
297.34	384.05	371.62
191.29	233.99	272.37
58	67	86
65	124	238
3.59	30.86	83.47
2.48	29.34	86.09
15.35	25.09	37.42
4.6	9.82	17.97
5	10	26
60.23	76.54	111.82
84.67	119.33	165.51
23.69	28.88	56.36
0	0	2
6.33	13.13	25.76
24.03	43.87	75.92
7.92	16.7	39.33
6.42	14.07	26.33
6.86	13.96	37.63
13.43	23.92	33.95
126.48	182.99	242.13
10.69	17.82	24.68
162.05	229.36	302.07
12.3	17.28	23.66
101.03	160.23	223.4
203.91	305.97	434.2
17.23	17.85	29.74
80.07	61.81	53.55
66.13	73.88	101.45
84.35	99.49	136.87
25.89	24.62	35.55
14.55	17.75	26.27
0	0	0
0.31	0.4	0.56
11	22	40
2	5	10
18.46	20.36	28.71
39.97	41.25	56.12
14.07	16.14	19.1
18.37	20.45	24.85
17.93	19.86	23.62
5.06	6.19	8.02
1.88	2.17	2.75
12.17	16.23	21.21
23.11	27.06	37.08
6.36	7.82	9.69
6.77	8.1	9.34
11	13	16
72	89	121
9	10	14
21	14	18
72	66	84
1.85	1.63	1.69
5.07	3.5	5.7
30	33	55
106.08	131.91	154.54
135.88	172.11	219.59
107.24	134.28	161.45
66.29	84.52	114.11
6.55	10.2	17.3
11.59	14.16	18.8
98	405	764
49.29	100.59	140.71
95.7	193.71	346.23
306.94	322.83	328.58
41.09	47.96	58.18
285.53	294.72	305.73
127.67	296.29	474.97
26.92	55.06	123.18
11.27	14.42	20.21
10.56	11.89	15.3
22.25	29.47	40.31
176.43	177.09	196.23
22.5	30.13	46.95
25.24	35.69	54.56
57.82	103.1	176.74
26.4	41.1	62.53
8.14	15.77	26.28
5.38	7.56	13.13
1	1	5.58
33	95	198
26.83	34.47	44.17
148.45	135.14	158
2.97	4.98	5.24
5.88	7.54	8.59
48.4	89.92	159.02
6	6	10
5.6	9.04	13.67
21.12	33.39	43.35
199.53	337.35	471
24.43	37.94	50.5
51.45	69.19	84.11
261.68	327.77	390.74
10.49	12.77	18.1
107	143.77	194.08
69.62	83.29	103.18
113.44	138.53	179.34
106.87	160.65	207.05
53.2	60.03	80.86
17.27	26.17	36.06
53.8	63.95	222.96
570.42	585.23	469.73
96.06	130.01	166.57
236.5	294.49	443.78
60.05	78.59	106.52
9	1	2
15.04	22.2	26.87
112.69	94.78	102.06
21.47	26.99	38.63
2	18	61.93
79.17	87.46	119.2
57.53	63.23	83.63
48.06	62.39	77.3
176.94	227.74	290.95
11	12.8	19.35
2.93	6.03	8.22
3.4	3.93	5.4
29	24	29
162.71	164.95	166.8
54.71	57.35	61.29
309.14	306.64	308.43
228.67	234.9	244.83
228.99	229.17	236.57
63.42	65.78	91.58
313.15	364.32	360
94.98	104.06	127.04
142.62	167.46	199.28
64.65	75.77	96.36
101.02	111.59	144.93
8.06	8.52	13.18
27.51	40.99	62.42
29.02	31.15	110.27
10.66	3	3
0.34	0	0
3	4	11
14.87	12.17	33.13
9.77	11.21	20.11
71.83	85.52	99.2
90.55	109.05	110.83
58.41	68.91	74.71
273.62	315.64	356.89
40.51	100.89	169.58
27.25	137.43	288.37
121.18	146.24	174.06
311.73	379.39	461.05
23.49	31.6	44.39
107.36	165.75	242.09
32.65	46.3	64.06
116.94	137.92	161.63
318.59	338.52	353.39
159.55	186.87	203.95
218.23	214.56	224.89
292.12	297.55	313.2
124.67	165.44	222.07
88.77	104.76	111.96
91.54	131.61	183.56
45.87	60.55	78.63
99.63	97.92	100.46
107.64	104.91	112.86
108.75	119.65	154.84
23.63	30.83	41.74
7	9	16
307.79	410.64	487.47
46.76	60.55	79.72
337	445.12	500.3
98.85	125.97	154.18
85.74	103.24	128.37
75.93	210.17	391.09
33.39	54.25	77.3
93.59	124.02	156.77
472.77	693.99	927.81
41.1	41.49	58.69
30.42	34.12	43.54
2	0	2
145.5	157.78	241.67
6.83	10.48	15.45
104.67	92.5	96.41
0.5	0.5	1.49
0.5	0.5	1.51
7	3	8
256.99	2.68	301.54
4.53	6.32	5.55
6.73	7.07	11.4
5.99	5.98	8.26
27.79	30.99	29.76
194	168.92	199.47
794.9	840.79	803.55
212.14	228.88	239.09
322	307.93	397.73
56.71	78.71	129.35
16.93	19.86	26.22
53.2	88.08	133.27
49.5	81.86	139.47
17.51	26.44	33.33
29.58	39.95	47.35
88.21	124.13	183.27
13	12	13
302.22	354.13	402.24
34.07	40.38	50.36
57.73	80.71	99.28
20.55	25.95	34.07
694.86	881.29	1032.47
130.43	252.5	374.11
87.39	185.62	293.46
93.89	127.1	169.54
31.75	42.97	63.46
116.19	193.05	272.8
86.84	166.67	224.56
28.1	56.7	103.92
10.19	31.28	58.53
208.64	243.13	291.59
50.91	58.47	69.89
130.04	142.13	152.14
231.12	239.11	247.76
281.07	303.6	323.71
96.29	109.83	128.82
329.57	360.31	370.78
6.21	4.46	6.92
156.6	194.41	228.31
119.3	136.94	156.06
195.94	211.4	222.31
222.48	298.05	399.29
15.13	51.91	90.55
23.57	30.52	40.36
127.15	203.41	293.51
119.81	193.75	293.08
67.12	104.19	131.87
47.83	83.1	127.12
11	16	34
111.87	134.39	170.59
0.04	2.24	8.09
4.53	39.19	95.55
6.22	18.1	23.66
10.45	17.13	19.45
1	5	20
90.79	100.07	126.68
47.99	44.48	55.42
99.7	94.86	83.33
151.02	189.51	215.5
146.32	165.49	157.16
105.64	145.22	201.77
1	0	4
46.95	41.14	45.75
23.3	26.81	48.17
1.62	0.79	0
8.38	3.21	4
5.95	16.92	33.05
19.57	14.81	38.2
3.67	11.64	25.01
6.02	25	52.58
1.18	1.39	1.55
17.02	15.5	18.21
1.75	1.74	3.07
7.34	2.88	2.87
2.36	3.49	8.03
9.91	12.25	19.8
96.9	112.3	146
4.39	1.83	0.95
34.97	38.61	47.18
1.29	3.69	5.06
3.19	3.78	8.32
